days,price
1978/12/29,226 
1979/1/1,226 
1979/1/2,227 
1979/1/3,219 
1979/1/4,223 
1979/1/5,226 
1979/1/8,223 
1979/1/9,224 
1979/1/10,221 
1979/1/11,221 
1979/1/12,218 
1979/1/15,217 
1979/1/16,221 
1979/1/17,227 
1979/1/18,232 
1979/1/19,231 
1979/1/22,235 
1979/1/23,230 
1979/1/24,236 
1979/1/25,234 
1979/1/26,236 
1979/1/29,235 
1979/1/30,234 
1979/1/31,234 
1979/2/1,229 
1979/2/2,230 
1979/2/5,243 
1979/2/6,245 
1979/2/7,252 
1979/2/8,251 
1979/2/9,247 
1979/2/12,244 
1979/2/13,241 
1979/2/14,241 
1979/2/15,248 
1979/2/16,247 
1979/2/19,248 
1979/2/20,247 
1979/2/21,251 
1979/2/22,252 
1979/2/23,251 
1979/2/26,249 
1979/2/27,248 
1979/2/28,251 
1979/3/1,249 
1979/3/2,248 
1979/3/5,238 
1979/3/6,240 
1979/3/7,242 
1979/3/8,239 
1979/3/9,241 
1979/3/12,240 
1979/3/13,239 
1979/3/14,240 
1979/3/15,240 
1979/3/16,244 
1979/3/19,242 
1979/3/20,242 
1979/3/21,240 
1979/3/22,243 
1979/3/23,243 
1979/3/26,245 
1979/3/27,244 
1979/3/28,244 
1979/3/29,242 
1979/3/30,240 
1979/4/2,240 
1979/4/3,240 
1979/4/4,240 
1979/4/5,241 
1979/4/6,240 
1979/4/9,240 
1979/4/10,240 
1979/4/11,238 
1979/4/12,234 
1979/4/13,234 
1979/4/16,234 
1979/4/17,232 
1979/4/18,233 
1979/4/19,241 
1979/4/20,236 
1979/4/23,237 
1979/4/24,240 
1979/4/25,242 
1979/4/26,242 
1979/4/27,244 
1979/4/30,245 
1979/5/1,247 
1979/5/2,246 
1979/5/3,247 
1979/5/4,249 
1979/5/7,249 
1979/5/8,249 
1979/5/9,248 
1979/5/10,252 
1979/5/11,252 
1979/5/14,251 
1979/5/15,256 
1979/5/16,257 
1979/5/17,257 
1979/5/18,256 
1979/5/21,262 
1979/5/22,265 
1979/5/23,264 
1979/5/24,264 
1979/5/25,271 
1979/5/28,271 
1979/5/29,274 
1979/5/30,270 
1979/5/31,275 
1979/6/1,275 
1979/6/4,273 
1979/6/5,275 
1979/6/6,280 
1979/6/7,276 
1979/6/8,280 
1979/6/11,282 
1979/6/12,278 
1979/6/13,277 
1979/6/14,279 
1979/6/15,280 
1979/6/18,278 
1979/6/19,280 
1979/6/20,281 
1979/6/21,282 
1979/6/22,284 
1979/6/25,284 
1979/6/26,282 
1979/6/27,282 
1979/6/28,276 
1979/6/29,278 
1979/7/2,283 
1979/7/3,281 
1979/7/4,284 
1979/7/5,288 
1979/7/6,290 
1979/7/9,288 
1979/7/10,291 
1979/7/11,290 
1979/7/12,291 
1979/7/13,288 
1979/7/16,293 
1979/7/17,296 
1979/7/18,302 
1979/7/19,299 
1979/7/20,299 
1979/7/23,305 
1979/7/24,305 
1979/7/25,303 
1979/7/26,305 
1979/7/27,306 
1979/7/30,301 
1979/7/31,297 
1979/8/1,290 
1979/8/2,292 
1979/8/3,287 
1979/8/6,283 
1979/8/7,285 
1979/8/8,289 
1979/8/9,297 
1979/8/10,304 
1979/8/13,299 
1979/8/14,292 
1979/8/15,302 
1979/8/16,298 
1979/8/17,301 
1979/8/20,299 
1979/8/21,301 
1979/8/22,311 
1979/8/23,310 
1979/8/24,315 
1979/8/27,315 
1979/8/28,317 
1979/8/29,315 
1979/8/30,319 
1979/8/31,315 
1979/9/3,323 
1979/9/4,325 
1979/9/5,329 
1979/9/6,336 
1979/9/7,329 
1979/9/10,336 
1979/9/11,340 
1979/9/12,337 
1979/9/13,333 
1979/9/14,346 
1979/9/17,352 
1979/9/18,376 
1979/9/19,369 
1979/9/20,380 
1979/9/21,369 
1979/9/24,380 
1979/9/25,377 
1979/9/26,374 
1979/9/27,396 
1979/9/28,397 
1979/10/1,415 
1979/10/2,426 
1979/10/3,402 
1979/10/4,384 
1979/10/5,385 
1979/10/8,372 
1979/10/9,386 
1979/10/10,413 
1979/10/11,402 
1979/10/12,395 
1979/10/15,403 
1979/10/16,394 
1979/10/17,386 
1979/10/18,381 
1979/10/19,393 
1979/10/22,392 
1979/10/23,385 
1979/10/24,395 
1979/10/25,392 
1979/10/26,375 
1979/10/29,374 
1979/10/30,378 
1979/10/31,382 
1979/11/1,379 
1979/11/2,373 
1979/11/5,381 
1979/11/6,384 
1979/11/7,395 
1979/11/8,390 
1979/11/9,390 
1979/11/12,393 
1979/11/13,387 
1979/11/14,390 
1979/11/15,386 
1979/11/16,390 
1979/11/19,390 
1979/11/20,388 
1979/11/21,396 
1979/11/22,393 
1979/11/23,392 
1979/11/26,395 
1979/11/27,394 
1979/11/28,411 
1979/11/29,412 
1979/11/30,416 
1979/12/3,429 
1979/12/4,431 
1979/12/5,426 
1979/12/6,434 
1979/12/7,430 
1979/12/10,431 
1979/12/11,446 
1979/12/12,446 
1979/12/13,459 
1979/12/14,457 
1979/12/17,470 
1979/12/18,478 
1979/12/19,489 
1979/12/20,472 
1979/12/21,473 
1979/12/24,473 
1979/12/25,473 
1979/12/26,473 
1979/12/27,473 
1979/12/28,512 
1979/12/31,512 
1980/1/1,512 
1980/1/2,560 
1980/1/3,634 
1980/1/4,588 
1980/1/7,634 
1980/1/8,610 
1980/1/9,607 
1980/1/10,603 
1980/1/11,623 
1980/1/14,660 
1980/1/15,684 
1980/1/16,760 
1980/1/17,750 
1980/1/18,835 
1980/1/21,850 
1980/1/22,738 
1980/1/23,695 
1980/1/24,717 
1980/1/25,668 
1980/1/28,624 
1980/1/29,674 
1980/1/30,691 
1980/1/31,653 
1980/2/1,677 
1980/2/4,670 
1980/2/5,682 
1980/2/6,709 
1980/2/7,699 
1980/2/8,692 
1980/2/11,711 
1980/2/12,695 
1980/2/13,697 
1980/2/14,682 
1980/2/15,667 
1980/2/18,662 
1980/2/19,652 
1980/2/20,606 
1980/2/21,665 
1980/2/22,630 
1980/2/25,617 
1980/2/26,642 
1980/2/27,636 
1980/2/28,646 
1980/2/29,637 
1980/3/3,634 
1980/3/4,631 
1980/3/5,644 
1980/3/6,626 
1980/3/7,609 
1980/3/10,585 
1980/3/11,570 
1980/3/12,586 
1980/3/13,557 
1980/3/14,523 
1980/3/17,484 
1980/3/18,482 
1980/3/19,527 
1980/3/20,561 
1980/3/21,525 
1980/3/24,558 
1980/3/25,547 
1980/3/26,508 
1980/3/27,485 
1980/3/28,490 
1980/3/31,495 
1980/4/1,510 
1980/4/2,501 
1980/4/3,486 
1980/4/4,486 
1980/4/7,486 
1980/4/8,528 
1980/4/9,554 
1980/4/10,526 
1980/4/11,531 
1980/4/14,530 
1980/4/15,498 
