Last updated 01-02-2021,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
10990,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Gold price - Key Currencies,,,,,,Gold price - Major consumer countries,,,,,,,,,,,,,Gold price - Major producer countries,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,National Currency Unit per troy ounce,,,,,,National Currency Unit per troy ounce,,,,,,,,,,,,,National Currency Unit per troy ounce,,,,
,,,,USD,EUR,JPY,GBP,CAD,CHF,INR,CNY,USD,TRY,SAR,IDR,AED,THB,VND,EGP,KRW,EUR,RUB,USD,ZAR,CNY,CAD,AUD
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Name,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
,,,1978/12/29,226.0,137.1,#N/A,110.7,#N/A,#N/A,#N/A,#N/A,226.0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,137.1,#N/A,226.0,#N/A,#N/A,#N/A,#N/A
,,,1979/1/1,226.0,137.1,#N/A,110.7,#N/A,#N/A,#N/A,#N/A,226.0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,137.1,#N/A,226.0,#N/A,#N/A,#N/A,#N/A
,,,1979/1/2,226.8,137.3,"43,164.9",111.5,263.7,359.6,"1,792.9",#N/A,226.8,#N/A,735.6,"138,160.5",851.3,"4,454.6",#N/A,#N/A,"107,470.0",137.3,#N/A,226.8,194.6,#N/A,263.7,193.6
,,,1979/1/3,218.6,134.0,"43,717.9",108.0,264.4,365.9,"1,802.2",#N/A,218.6,#N/A,739.4,"138,877.0",855.7,"4,477.7",#N/A,#N/A,"108,027.4",134.0,#N/A,218.6,192.2,#N/A,264.4,193.0
,,,1979/1/4,223.2,136.8,"43,674.9",110.7,264.1,366.4,"1,811.7",#N/A,223.2,#N/A,743.4,"139,616.3",860.3,"4,501.5",#N/A,#N/A,"108,602.5",136.8,#N/A,223.2,193.0,#N/A,264.1,194.6
,,,1979/1/5,225.5,138.4,"44,582.5",111.6,268.4,373.7,"1,843.6",#N/A,225.5,#N/A,756.4,"142,069.1",875.4,"4,580.6",#N/A,#N/A,"110,510.4",138.4,#N/A,225.5,196.4,#N/A,268.4,197.9
,,,1979/1/8,223.1,136.4,"44,436.2",110.2,269.5,372.6,"1,841.3",#N/A,223.1,#N/A,750.9,"141,870.9",869.7,"4,574.2",#N/A,#N/A,"110,356.3",136.4,#N/A,223.1,197.2,#N/A,269.5,197.9
,,,1979/1/9,224.0,137.3,"44,045.6",111.0,266.3,372.8,"1,822.5",#N/A,224.0,#N/A,743.3,"140,446.7",860.9,"4,528.3",#N/A,#N/A,"109,248.4",137.3,#N/A,224.0,195.0,#N/A,266.3,195.9
,,,1979/1/10,220.7,135.5,"43,366.4",109.9,261.8,365.9,"1,803.5",#N/A,220.7,#N/A,735.6,"138,981.0",852.0,"4,481.0",#N/A,#N/A,"108,108.3",135.5,#N/A,220.7,192.0,#N/A,261.8,192.7
,,,1979/1/11,220.7,135.9,"43,770.6",110.2,262.5,370.9,"1,814.6",#N/A,220.7,#N/A,740.1,"139,833.8",857.2,"4,508.5",#N/A,#N/A,"108,771.7",135.9,#N/A,220.7,192.4,#N/A,262.5,193.8
,,,1979/1/12,217.6,134.1,"42,837.1",109.0,257.2,364.6,"1,782.6",#N/A,217.6,#N/A,727.1,"137,371.8",842.1,"4,429.1",#N/A,#N/A,"106,856.6",134.1,#N/A,217.6,187.1,#N/A,257.2,189.8
,,,1979/1/15,216.9,133.8,"42,795.3",108.8,256.8,367.8,"1,782.0",#N/A,216.9,#N/A,718.1,"135,122.4",825.5,"4,374.7",#N/A,#N/A,"106,819.8",133.8,#N/A,216.9,187.3,#N/A,256.8,189.8
,,,1979/1/16,220.7,135.6,"43,225.9",110.2,260.9,367.7,"1,796.5",#N/A,220.7,#N/A,724.0,"136,222.9",832.3,"4,410.4",#N/A,#N/A,"107,689.8",135.6,#N/A,220.7,189.3,#N/A,260.9,191.9
,,,1979/1/17,227.3,139.2,"44,349.7",113.3,267.6,376.2,"1,842.1",#N/A,227.3,#N/A,742.3,"139,676.2",853.4,"4,522.2",#N/A,#N/A,"110,419.8",139.2,#N/A,227.3,196.0,#N/A,267.6,197.1
,,,1979/1/18,231.8,141.7,"44,823.4",115.3,270.8,379.1,"1,861.7",#N/A,231.8,#N/A,750.3,"141,168.1",862.5,"4,570.5",#N/A,#N/A,"111,599.2",141.7,#N/A,231.8,197.1,#N/A,270.8,199.0
,,,1979/1/19,230.6,141.1,"46,908.8",115.1,280.9,396.1,"1,940.8",#N/A,230.6,#N/A,782.1,"147,159.4",899.1,"4,764.4",#N/A,#N/A,"116,335.5",141.1,#N/A,230.6,206.5,#N/A,280.9,207.6
,,,1979/1/22,235.0,144.0,"46,387.4",117.6,278.3,393.5,"1,886.9",#N/A,235.0,#N/A,781.1,"146,492.8",898.4,"4,746.6",#N/A,#N/A,"115,493.3",144.0,#N/A,235.0,203.5,#N/A,278.3,205.7
